TCGA.3C.AALI.01A.11R.A41G.13	TCGA.A1.A0SQ.01A.21R.A143.13	TCGA.A2.A0CL.01A.11R.A114.13	TCGA.A2.A0D3.01A.11R.A114.13	TCGA.A2.A259.01A.11R.A16E.13	TCGA.A2.A1FX.01A.11R.A13P.13	TCGA.A1.A0SD.01A.11R.A114.13	TCGA.A2.A1FV.01A.11R.A13P.13	TCGA.A2.A0CS.01A.11R.A114.13	TCGA.A1.A0SB.01A.11R.A143.13	TCGA.3C.AAAU.01A.11R.A41G.13	TCGA.A2.A0ES.01A.11R.A114.13	TCGA.A2.A0CO.01A.13R.A22I.13	TCGA.A2.A25A.01A.12R.A16E.13	TCGA.A2.A0CK.01A.11R.A22I.13	TCGA.5L.AAT1.01A.12R.A41G.13	TCGA.A2.A1G4.01A.11R.A13P.13	TCGA.A2.A0CV.01A.31R.A114.13	TCGA.A2.A1FZ.01A.51R.A14C.13	TCGA.3C.AALK.01A.11R.A41G.13	TCGA.A2.A3KD.01A.12R.A214.13	TCGA.A2.A1FW.01A.11R.A13P.13	TCGA.A2.A0CW.01A.21R.A114.13	TCGA.A2.A04U.01A.11R.A114.13	TCGA.A2.A0CR.01A.11R.A22I.13	TCGA.A2.A25D.01A.12R.A16E.13	TCGA.A2.A25B.01A.11R.A168.13	TCGA.A2.A0EP.01A.52R.A22V.13	TCGA.A2.A0T3.01A.21R.A114.13	TCGA.4H.AAAK.01A.12R.A41G.13	TCGA.A2.A0EW.01A.21R.A114.13	TCGA.A2.A3XS.01A.11R.A22V.13	TCGA.A1.A0SG.01A.11R.A143.13	TCGA.3C.AALJ.01A.31R.A41G.13	TCGA.A2.A1G6.01A.11R.A13P.13	TCGA.A1.A0SI.01A.11R.A143.13	TCGA.5T.A9QA.01A.11R.A41G.13	TCGA.A2.A1G0.01A.11R.A13P.13	TCGA.A2.A04W.01A.31R.A114.13	TCGA.A2.A3XT.01A.11R.A22V.13	TCGA.A2.A25C.01A.11R.A168.13	TCGA.A1.A0SF.01A.11R.A143.13	TCGA.A2.A3KC.01A.11R.A214.13	TCGA.5L.AAT0.01A.12R.A41G.13	TCGA.A2.A1G1.01A.21R.A13P.13	TCGA.A2.A25E.01A.11R.A168.13	TCGA.A1.A0SN.01A.11R.A143.13	TCGA.A2.A04N.01A.11R.A114.13	TCGA.A2.A25F.01A.11R.A168.13
hsa-miR-203a-3p|MIMAT0000264	7930.869798	754.641011	759.910312	13130.981992	3802.259	669.681305	2933.818146	115.999514	5785.157816	11127.18636	4549.739209	4598.939174	1075.410169	2863.505785	2084.767741	3637.133557	5718.282134	3933.429453	7776.164821	8952.995233	2004.613351	2611.322756	5190.491545	35158.017871	1195.674175	2566.17222	9518.46379	657.475121	11668.040287	8040.158957	1505.07644	13142.18948	33031.980895	1659.753586	3532.527746	1863.082417	10092.75907	2605.249216	5746.720088	568.469493	16313.252857	3492.437975	2289.298252	3918.830246	39074.234515	2481.395902	10561.796827	5290.855656	6661.238333
hsa-miR-204-5p|MIMAT0000265	0.786543	1.235092	2.678885	0.382526	9.804691	1.924372	5.84426	4.655498	0.265996	22.579687	2.249702	36.930243	2.039079	9.864512	10.578795	2.603701	2.727667	5.069136	8.635706	2.213544	3.969531	3.024698	1.437809	1.503572	2.540683	2.355213	NA	3.129437	4.801547	1.459547	12.432941	1.660853	2.085484	1.3157	53.387303	0.825102	0.275127	1.713041	0.818971	6.683944	3.272687	9.078907	2.952894	3.963661	1.912423	10.194026	0.275384	0.754166	12.846179
hsa-miR-205-5p|MIMAT0000266	263.963812	264.927164	708.11854	7241.223792	3642.442544	358.895296	1904.98501	472.921096	2591.071877	19355.391735	4.96809	8777.194711	2575.2206	1153.264479	2125.890946	718.148067	4701.407691	4849.841159	2767.167855	2102.39254	1667.014159	756.426601	273.944959	8680.871412	1243.100276	587.793742	173.81055	171.825644	3590.709402	1190.828336	2648.906905	1282.17833	2442.101748	3.398888	9448.737392	3259.156577	79.236578	4114.152457	2415.145723	1199.099671	3569.410417	1299.434487	1191.626988	874.875572	488.815199	2619.864758	168.534918	567.133268	294.47397
hsa-miR-205-3p|MIMAT0009197	NA	NA	2.381231	4.590315	0.980469	NA	0.487022	NA	1.32998	10.035415	NA	5.138123	2.039082	0.88339	2.53295	0.82845	NA	3.305956	0.287857	0.632441	0.7561	0.252058	NA	9.397324	1.552639	NA	NA	NA	2.259552	0.324344	0.690719	1.245638	NA	NA	3.260294	2.062756	NA	0.856521	0.54598	0.668394	NA	0.383616	0.402667	0.546712	NA	NA	NA	NA	NA
hsa-miR-210-3p|MIMAT0000267	1991.212114	770.079657	135.134855	376.023401	1.960938	55.165317	157.064469	128.802137	965.567284	559.474479	343.735578	159.602876	48.394139	4.122483	154.361019	222.261383	1342.557939	79.563401	456.540957	285.389076	82.226007	1327.33838	989.635677	646.535845	24.277648	26.916714	1244.707811	129.578246	943.080209	344.939653	195.473444	655.898435	1338.88072	287.91868	96.993725	684.835433	966.796297	152.175105	1088.412569	571.477269	329.450473	95.136711	76.506799	81.596738	2416.919589	421.353088	288.326892	178.73748	358.704867
hsa-miR-211-5p|MIMAT0000268	0.786543	NA	NA	0.382526	NA	NA	0.243511	NA	NA	NA	3.562027	1.28453	NA	NA	0.297994	NA	NA	NA	NA	0.15811	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.324344	NA	NA	0.695161	0.109642	0.407537	NA	NA	NA	0.54598	NA	1.090896	NA	NA	NA	NA	NA	0.275384	NA	NA
hsa-miR-212-3p|MIMAT0000269	1.258469	1.852638	9.227271	0.765052	6.863283	2.886559	3.652662	7.371204	1.595978	5.017708	6.374154	1.926797	5.165667	3.82802	3.426934	2.6037	4.364267	3.305959	2.014999	2.055433	3.402455	4.537047	2.791041	1.879465	2.822983	8.075014	3.114885	8.214773	3.671771	1.297376	4.835033	9.273094	2.085484	3.947096	2.037684	1.650206	6.878175	2.569562	3.275885	11.028509	5.454479	1.662336	4.429341	1.503458	5.737269	5.946515	1.101536	1.13125	9.881677
hsa-miR-181a-3p|MIMAT0000270	600.918809	28.407109	334.562943	486.190987	187.269588	253.696317	202.844498	315.02209	247.110743	544.421352	89.144408	179.834227	149.940264	71.70175	314.979916	305.461463	88.376426	139.731845	179.622674	467.532129	130.049408	210.972696	352.686161	234.181298	264.09	693.441845	166.334829	537.871958	176.245	332.776759	436.534334	278.746452	214.109688	354.800015	145.08305	391.511339	415.441779	102.496929	205.83473	354.249064	542.175117	130.301492	550.043633	249.710621	105.183242	372.081959	122.545816	137.258317	1077.102773
hsa-miR-214-5p|MIMAT0004564	19.663573	4.940367	17.263925	27.924423	12.746098	12.187687	26.299166	19.785871	49.475346	60.212499	19.028722	47.206485	19.847035	10.600669	40.080226	24.971858	39.823943	44.299842	34.254967	33.677493	23.439137	20.164654	11.417896	21.050004	29.923612	4.037507	7.475723	90.264694	29.091723	43.462071	64.236857	45.119832	18.769356	24.998272	31.787859	44.143007	17.333001	20.270981	48.592285	30.411947	50.181199	18.029941	31.542276	16.401354	37.483483	26.334568	26.161466	12.820833	12.84618
hsa-miR-214-3p|MIMAT0000271	2.988862	0.617546	6.250732	3.442736	9.80469	2.565829	7.061815	5.819372	8.245888	10.035416	2.812127	6.10152	4.893792	13.250838	5.66189	6.745951	3.818734	7.934298	4.60571	6.956853	2.646354	4.284989	1.776117	3.007144	3.10528	7.738555	11.213584	22.10165	5.648879	9.568143	22.103006	10.103521	10.427419	4.276021	4.890441	4.538064	4.402032	4.568109	10.646621	5.681352	10.908958	4.347646	6.040009	6.833899	4.972302	21.237555	3.855374	0.754166	14.822515
hsa-miR-215-5p|MIMAT0000272	3.146172	0.617546	18.156887	11.475791	0.980469	0.641457	4.383194	6.595289	4.787936	12.126128	2.812128	3.532458	11.962597	1.91401	7.151861	1.6569	2.727666	2.424369	6.908565	2.055433	3.780506	3.780872	3.636811	4.510715	7.057455	3.701049	3.114884	28.164932	7.343542	0.486516	4.144314	5.67458	4.170968	2.083191	2.037684	5.363169	0.825381	3.140575	5.186817	30.411947	6.545374	5.754237	2.281781	0.820068	3.442361	1.699004	4.681525	0.377083	NA
hsa-miR-216a-5p|MIMAT0000273	0.157309	0.617546	0.892962	NA	NA	0.320729	0.487022	NA	NA	0.836285	0.187476	0.642266	NA	0.441695	1.340973	0.11835	NA	0.661191	NA	0.474331	0.378051	0.252058	0.084577	0.375893	0.141149	NA	NA	0.684565	NA	NA	0.690719	0.276809	NA	NA	NA	NA	0.275127	0.571014	0.27299	1.670985	NA	0.127872	0.939557	0.136678	0.76497	NA	NA	NA	NA
hsa-miR-217|MIMAT0000274	5.348492	9.880734	15.775655	16.066106	6.863283	23.413188	42.127369	7.759165	4.255943	13.380555	22.778223	20.552483	11.826658	11.189595	40.080224	7.337703	12.001736	16.309395	15.54427	23.084101	59.542971	9.074094	13.024861	41.348224	13.550316	5.046884	5.606792	17.309698	17.229079	6.649049	16.577253	19.653424	12.512904	7.894191	11.818563	4.950617	38.242654	6.566655	12.830547	25.398991	7.636269	7.928059	37.17962	5.467119	4.207331	9.344523	4.681525	4.147916	77.07708
