TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.3C.AALK.01A.11R.A41B.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.5L.AAT0.01A.12R.A41B.07	TCGA.5L.AAT1.01A.12R.A41B.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.A1.A0SF.01A.11R.A144.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.A1.A0SJ.01A.11R.A084.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.A1.A0SN.01A.11R.A144.07	TCGA.A1.A0SO.01A.22R.A084.07	TCGA.A1.A0SP.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A2.A04P.01A.31R.A034.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.A2.A04T.01A.21R.A034.07	TCGA.A2.A04U.01A.11R.A115.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A2.A04Y.01A.21R.A034.07	TCGA.A2.A0CK.01A.11R.A22K.07	TCGA.A2.A0CL.01A.11R.A115.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.A2.A0CO.01A.13R.A22K.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.A2.A0CQ.01A.21R.A034.07	TCGA.A2.A0CR.01A.11R.A22K.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.A2.A0CU.01A.12R.A034.07	TCGA.A2.A0CV.01A.31R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.A2.A0CX.01A.21R.A00Z.07	TCGA.A2.A0CY.01A.12R.A034.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A2.A0D1.01A.11R.A034.07
?|340602	1.7233	144.1001	0	0	0.4255	0	0	0	0.901	0.6616	0	0	0	0	0.2943	0	1.891	0	0	1.6221	0	0	0.3962	0	0.3857	0	0	0	0	0.5403	0	0.3346	2.0202	0.7413	0	0.4178	0.6702	0	1.3376	0	0.8361	0	1.4326	0	1.6144	0	0	0	0
?|388795	0.3447	4.894	2.7199	2.0687	2.9787	2.3464	4.075	11.5063	0.901	0.3308	0.9872	2.9988	2.16	0.3612	0.5886	0.3658	0	0.3157	0.6414	1.6221	0.7297	0.4034	0.3962	3.6307	0.7713	0.7244	0.3477	6.7541	0.4074	6.4839	1.4418	6.3566	0.404	9.6368	1.8461	0.8355	1.3405	0.3573	0.4459	0.9229	0	1.9091	0.5731	1.437	1.2108	1.2277	0	8.2372	4.7087
?|390284	4.1359	1.6313	2.7199	4.5511	2.9787	5.866	4.89	2.0921	1.802	4.6315	5.5944	9.4249	8.6401	3.9727	2.6486	4.7554	3.4668	5.6818	5.1315	7.2995	5.4725	5.648	10.3011	5.7054	4.6278	10.5044	6.9547	4.1564	8.5557	4.3226	10.0928	14.3861	10.5051	7.7835	4.6152	17.1279	5.3619	9.6472	8.9176	8.3064	6.2709	15.273	2.8653	6.0353	1.2108	3.6832	5.2381	1.6474	10.8299
?|391343	0	8.1566	0	0	0	0	0.815	0	0	0.3308	0.3291	0	1.08	0	1.4715	0	0	0.6313	0	0	0	0	1.1886	0	0	0.7244	0	0	0	0	0	3.6802	0.404	0.7413	0.4615	0	0	0	0.8918	0	0	0	0.5731	0	2.018	1.8416	0	0	0
?|391714	0.6893	0.5438	0	0	0	0	0	0	0.4505	0.3308	0.3291	0	0	0	0	0.7316	0	0	0	0	0.3648	0	0	0	0	1.0867	0	0	0.8148	0	0	0	0	0	0	0	0	0	0	0	0.4181	1.5273	0	0	0	0	0.4762	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	3.7912	0	0.9066	0	0.4255	0.5866	1.63	1.046	0.4505	3.6391	1.3163	2.142	10.8001	49.8391	0	2.1948	0.3152	0.6313	0	0	0.3648	4.4377	4.3582	4.1494	0.7713	0	0	0	0.4074	2.7016	1.0814	54.8678	0	0	9.6919	0	3.3512	0	0	0.4615	12.9599	0	0	1.437	1.2108	0	0.9524	0	0.9417
?|57714	820.9773	708.5372	391.6591	458.0058	449.3617	210.0015	336.5933	213.3891	422.1196	1072.8641	533.443	248.9025	733.3273	1017.3669	1126.545	1303.3379	161.0463	941.6035	817.1905	517.4564	665.4506	543.0156	335.1823	616.7012	478.5962	453.5	443.3626	54.5525	163.3734	853.708	429.3052	1031.4486	132.1212	3055.2261	1354.5633	698.4856	331.7694	242.9656	197.9712	316.1052	476.1706	554.0283	168.7646	1572.065	537.5845	1089.6255	343.3333	221.5815	153.5021
